acl 2.3.2-1
mc 4.8.31-1
mdadm 4.2-2
memtest86+ 7.00-1
memtest86+-efi 7.00-1
mkinitcpio 37.3-1
mkinitcpio-archiso 69-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mobile-broadband-provider-info 20230416-1
modemmanager 1.22.0-1
mpfr 4.2.1-1
mpg123 1.32.4-1
mtools 1:4.0.43-1
nano 7.2-1
nbd 3.25-1
ncurses 6.4_20230520-1
ndisc6 1.0.8-1
nettle 3.9.1-1
nfs-utils 2.6.4-1
nfsidmap 2.6.4-1
nftables 1:1.0.9-1
nilfs-utils 2.2.9-2
nmap 7.94-2
npth 1.6-4
nspr 4.35-2
nss 3.97-1
ntfs-3g 2022.10.3-1
numactl 2.0.17-1
nvme-cli 2.7.1-1
oath-toolkit 2.6.11-1
open-iscsi 2.1.9-2
open-isns 0.102-3
open-vm-tools 6:12.3.5-1
openconnect 1:9.12-1
openpgp-card-tools 0.9.5-1
openssh 9.6p1-1
openssl 3.2.0-1
openvpn 2.6.8-1
opus 1.4-1
p11-kit 0.25.3-1
pacman 6.0.2-8
pacman-mirrorlist 20231001-1
pam 1.6.0-3
pambase 20230918-1
partclone 0.3.27-1
parted 3.6-1
partimage 0.6.9-14
pbzip2 1.1.13-3
pcaudiolib 1.2-2
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.1-1
pigz 2.8-1
pinentry 1.2.1-3
pixz 1.0.7-4
pkcs11-helper 1.30.0-1
polkit 124-1
popt 1.19-1
ppp 2.5.0-3
pptpclient 1.10.0-3
procps-ng 4.0.4-2
psmisc 23.6-1
pv 1.8.5-1
python 3.11.6-1
python-attrs 23.1.0-1
python-babel 2.12.1-2
python-cffi 1.16.0-1
python-charset-normalizer 3.3.2-1
python-configobj 5.0.8-4
python-cryptography 41.0.7-1
python-docutils 1:0.20.1-1
python-idna 3.6-1
python-imagesize 1.4.1-4
python-jinja 1:3.1.3-1
python-jsonpatch 1.33-1
python-jsonpointer 2.4-1
python-jsonschema 4.21.1-1
python-jsonschema-specifications 2023.12.1-1
python-markupsafe 2.1.4-1
python-netifaces 0.11.0-4
python-oauthlib 3.2.2-2
python-packaging 23.2-1
python-ply 3.11-12
python-pycparser 2.21-5
python-pygments 2.17.2-1
python-pyparted 3.13.0-1
python-pyrsistent 0.19.3-3
python-pyserial 3.5-5
python-pytz 2023.3.post1-1
python-referencing 0.33.0-1
python-requests 2.31.0-1
python-rpds-py 0.17.1-1
python-simple-term-menu 1.6.4-1
python-six 1.16.0-8
python-snowballstemmer 2.2.0-5
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.16-1
python-sphinx_rtd_theme 1.3.0-1
python-sphinxcontrib-applehelp 1.0.8-1
python-sphinxcontrib-devhelp 1.0.6-1
python-sphinxcontrib-htmlhelp 2.0.5-1
python-sphinxcontrib-jquery 4.1-2
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.7-1
python-sphinxcontrib-serializinghtml 1.1.10-1
python-typing_extensions 4.9.0-1
python-urllib3 1.26.18-1
python-yaml 6.0.1-2
qemu-guest-agent 8.2.0-3
readline 8.2.010-1
refind 0.14.0.2-2
reflector 2023-1
reiserfsprogs 3.6.27-4
rp-pppoe 4.0-1
rpcbind 1.2.6-3
rsync 3.2.7-6
run-parts 5.5-1
rxvt-unicode-terminfo 9.31-4
screen 4.9.1-1
sdparm 1.12-1
sed 4.9-3
sequoia-sq 0.32.0-1
sg3_utils 1.47-1
shadow 4.14.3-1
shared-mime-info 2.4-1
slang 2.3.3-2
smartmontools 7.4-1
sof-firmware 2023.12-1
sqlite 3.45.1-1
squashfs-tools 4.6.1-1
sshfs 3.7.3-1
stoken 0.92-4
sudo 1.9.15.p5-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-4
systemd 255.3-1
systemd-libs 255.3-1
systemd-resolvconf 255.3-1
systemd-sysvcompat 255.3-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tcpdump 4.99.4-1
terminus-font 4.49.1-6
testdisk 7.1-5
texinfo 7.1-2
thin-provisioning-tools 1.0.10-1
tmux 3.3_a-7
tpm2-tools 5.3-2
tpm2-tss 4.0.1-1
tzdata 2023d-1
udftools 2.3-1
uriparser 0.9.7-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-3
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
vim 9.1.0000-1
vim-runtime 9.1.0000-1
virtualbox-guest-utils-nox 7.0.14-2
vpnc 1:0.5.3.r526.r213-1
wezterm-terminfo 20240128.202157.1e552d76-1
which 2.21-6
wireless-regdb 2023.09.01-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-8
wvdial 1.61-9
wvstreams 4.6.1-21
xcb-proto 1.16.0-1
xdg-utils 1.2.0r28+g9b7d253-1
xfsprogs 6.5.0-2
xl2tpd 1.3.18-1
xmlsec 1.2.39-1
xorg-xprop 1.2.6-1
xorg-xset 1.2.5-1
xorgproto 2023.2-1
xxhash 0.8.2-1
xz 5.4.6-1
zlib 1:1.3.1-1
zsh 5.9-4
zstd 1.5.5-1
